I_TRIP_ID,S_LORRY_RECPT_NO,S_VEHICLE_ID,S_PRODUCT_ID,DT_DEP_DATETIME,DT_BOOK_DATETIME,S_CONSIGNOR_ID,S_CONSIGNOR_NAME,S_TRANSPORTER_ID,S_TRANSPORTER_NAME,C_TRIP_CLOSE_REASON,C_IS_DELETED,I_ORIGIN_LOC_CODE,S_GOODS_DESC,I_QTY,S_UOM_CODE,S_DESTINATION_LOC_NAME,DT_EXP_ARR_DATETIME,S_CONSIGNEE_ID,S_CONSIGNEE_NAME,S_CONSIGNEE_CITY,C_STATUS,S_ORIGIN_LOC_NAME,S_SUPP_PRODUCT_ID,DT_CREATED,S_INVOICE,DT_ATA,DT_OFFLOAD,DT_ATA_OUT 
758417, ,MH04FD8336,,01-Jan-2013 12:07:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,P,,,,,,MUMBAI,04-Jan-2013 00:00:00,,PRINCE ALY KHAN HOSPITAL,,,NEW TALOJA - BOC INDIA LIMITE,,01-Jan-2013 23:35:42,,,01-Jan-2013 23:35:43, 
758418, ,MH04FD8336,,01-Jan-2013 12:07:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,P,,,,,,MUMBAI,04-Jan-2013 00:00:00,,JASLOK HOSPITAL & RESEARCH CENTRE,,,NEW TALOJA - BOC INDIA LIMITE,,01-Jan-2013 23:35:42,,,01-Jan-2013 23:35:43, 
757972,AWL/hyd/Track part,OR04P9715,,01-Jan-2013 00:00:00,,,BARCO,398,AIRWAYS_LOGISTICS,,,,,,,Kharagpur,06-Jan-2013 00:00:00,,Telcon Kharagpur,,,Hyderabad,,01-Jan-2013 06:04:00,,04-Jan-2013 00:00:00,, 
758365, ,GJ27T75,,01-Jan-2013 17:03:00,,,AHMEDABAD - AHMEDABD PG & P SITE,391,BOC-AHMEDABAD,P,,,,,,AHMEDABAD,04-Jan-2013 00:00:00,,SHETH VADILAL SARABHAI GENERAL HOSP,,,AHMEDABAD - AHMEDABD PG & P S,,01-Jan-2013 23:35:24,,,01-Jan-2013 23:35:25, 
758366, ,GJ27T75,,01-Jan-2013 17:03:00,,,AHMEDABAD - AHMEDABD PG & P SITE,391,BOC-AHMEDABAD,P,,,,,,AHMEDABAD,04-Jan-2013 00:00:00,,STERLING ADDLIFE INDIA LTD.,,,AHMEDABAD - AHMEDABD PG & P S,,01-Jan-2013 23:35:25,,,05-Jan-2013 16:35:35, 
758407, ,MH48J535,,01-Jan-2013 13:55:00,,,CO2-TALOJA - BOC INDIA LTD.-CO2 TRADING SITE(2360),344,BOC-TALOJA-CO2,S,,,,,,KHOPOLI,04-Jan-2013 00:00:00,,ALTA LABROTORIES LTD.,,,CO2-TALOJA - BOC INDIA LTD.-C,,01-Jan-2013 23:35:39,,01-Jan-2013 19:43:00,02-Jan-2013 00:00:20, 
762717,-,JH05AC3726,220554,01-Jan-2013 02:49:00,,112,TATA STEEL,351,SIDDHI VINAYAK LOGISTIC LTD(EMER),S,N,,-,0,-,NAGPUR,05-Jan-2013 00:00:00,-,TATA STEEL LTD,,O,JAMSHEDPUR,1230040000000027650,05-Jan-2013 16:50:07,,06-Jan-2013 18:19:00,20-Feb-2013 01:15:15, 
758333, ,MH04FD3556,,01-Jan-2013 19:53:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,S,,,,,,PUNE,04-Jan-2013 00:00:00,,JCB MANUFACTURING LTD.,,,NEW TALOJA - BOC INDIA LIMITE,,01-Jan-2013 23:35:13,,02-Jan-2013 09:22:00,02-Jan-2013 10:00:06, 
758334, ,MH04EB5229,,01-Jan-2013 19:48:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,S,,,,,,NASIK,04-Jan-2013 00:00:00,,BHAGWATI OXYGEN COMPANY,,,NEW TALOJA - BOC INDIA LIMITE,,01-Jan-2013 23:35:13,,02-Jan-2013 13:53:00,02-Jan-2013 14:00:04, 
758335, ,MH46F2413,,01-Jan-2013 19:47:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,S,,,,,,RAIGAD,04-Jan-2013 00:00:00,,MAHINDRA UGINE STEEL CO LTD.,,,NEW TALOJA - BOC INDIA LIMITE,,01-Jan-2013 23:35:14,,02-Jan-2013 10:05:00,02-Jan-2013 11:00:21, 
